Filename:	C:\Users\DSC\Desktop\MD\G7\G7-pet-tga.t6d 
Operator ID:	MD 
Sample ID:	G7-PET 
Comment: 	 
Serial Number:	016120108 
Data Collected:	09.03.2026 10:32:07 
Sample Weight:	2.644 mg 
Display Weight:	2.644 
Validation 
Validated:	No 
By:	 
Date:	 
Calibration Information 
Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\Calibrations\05_Okt_2017.t6c 
Date/Time:	 
Initial Conditions 
Temperature:	 30.00 °C 
Baseline Filename:	 
End Condition:	Go To Load 
Total Points in Run:	1710 
Method Steps: 
Pre-Run Actions 
Start the Run 
	Action occurs Immediately 
Switch the Gas to Nitrogen at 20.0 ml/min  
	Action occurs Immediately 
1)	Heat from 30.00°C to 600.00°C at 20.00°C/min 
 
1) TGA Temperature Scan 
	Time     	Unsubtracted	Baseline     	Program     	Sample     	Approx.     	R25 Diagnostic 
	          	Weight     	Weight     	Temperature	Temperature	Gas Flow     	Temperature 
	3.066667	3.743633	0.000000	91.333333	70.070000	19.800000	0.000000 
	3.083333	3.741317	0.000000	91.666667	70.390000	19.800000	0.000000 
	3.100000	3.725103	0.000000	92.000000	70.710000	19.800000	0.000000 
	3.116667	3.728051	0.000000	92.333333	71.030000	19.800000	0.000000 
	3.133333	3.740685	0.000000	92.666667	71.340000	19.800000	0.000000 
	3.150000	3.744264	0.000000	93.000000	71.660000	19.800000	0.000000 
	3.166667	3.743843	0.000000	93.333333	71.970000	19.800000	0.000000 
	3.183333	3.743212	0.000000	93.666667	72.290000	19.800000	0.000000 
	3.200000	3.743001	0.000000	94.000000	72.610000	19.800000	0.000000 
	3.216667	3.743001	0.000000	94.333333	72.930000	19.800000	0.000000 
	3.233333	3.743422	0.000000	94.666667	73.250000	19.800000	0.000000 
	3.250000	3.743422	0.000000	95.000000	73.570000	19.800000	0.000000 
	3.266667	3.743422	0.000000	95.333333	73.890000	19.800000	0.000000 
	3.283333	3.743422	0.000000	95.666667	74.210000	19.800000	0.000000 
	3.300000	3.743422	0.000000	96.000000	74.530000	19.800000	0.000000 
	3.316667	3.743422	0.000000	96.333333	74.860000	19.800000	0.000000 
	3.333333	3.743422	0.000000	96.666667	75.180000	19.800000	0.000000 
	3.350000	3.743633	0.000000	97.000000	75.500000	19.800000	0.000000 
	3.366667	3.743422	0.000000	97.333333	75.830000	19.800000	0.000000 
	3.383333	3.743422	0.000000	97.666667	76.150000	19.800000	0.000000 
	3.400000	3.743422	0.000000	98.000000	76.470000	19.800000	0.000000 
	3.416667	3.743422	0.000000	98.333333	76.800000	19.800000	0.000000 
	3.433333	3.743422	0.000000	98.666667	77.120000	19.800000	0.000000 
	3.450000	3.743422	0.000000	99.000000	77.450000	19.800000	0.000000 
	3.466667	3.743212	0.000000	99.333333	77.770000	19.800000	0.000000 
	3.483333	3.743212	0.000000	99.666667	78.100000	19.800000	0.000000 
	3.500000	3.743212	0.000000	100.000000	78.420000	19.800000	0.000000 
	3.516667	3.743212	0.000000	100.333333	78.750000	19.800000	0.000000 
	3.533333	3.743001	0.000000	100.666667	79.070000	19.800000	0.000000 
	3.550000	3.743001	0.000000	101.000000	79.400000	19.800000	0.000000 
	3.566667	3.743001	0.000000	101.333333	79.720000	19.800000	0.000000 
	3.583333	3.743001	0.000000	101.666667	80.050000	19.800000	0.000000 
	3.600000	3.743001	0.000000	102.000000	80.370000	19.800000	0.000000 
	3.616667	3.742790	0.000000	102.333333	80.700000	19.800000	0.000000 
	3.633333	3.742790	0.000000	102.666667	81.030000	19.800000	0.000000 
	3.650000	3.743001	0.000000	103.000000	81.350000	19.800000	0.000000 
	3.666667	3.742790	0.000000	103.333333	81.680000	19.800000	0.000000 
	3.683333	3.742790	0.000000	103.666667	82.010000	19.800000	0.000000 
	3.700000	3.742790	0.000000	104.000000	82.330000	19.800000	0.000000 
	3.716667	3.742580	0.000000	104.333333	82.660000	19.800000	0.000000 
	3.733333	3.742580	0.000000	104.666667	82.990000	19.800000	0.000000 
	3.750000	3.742580	0.000000	105.000000	83.320000	19.800000	0.000000 
	3.766667	3.742580	0.000000	105.333333	83.640000	19.800000	0.000000 
	3.783333	3.742580	0.000000	105.666667	83.970000	19.800000	0.000000 
	3.800000	3.742580	0.000000	106.000000	84.300000	19.800000	0.000000 
	3.816667	3.742580	0.000000	106.333333	84.630000	19.800000	0.000000 
	3.833333	3.742580	0.000000	106.666667	84.960000	19.800000	0.000000 
	3.850000	3.742580	0.000000	107.000000	85.290000	19.800000	0.000000 
	3.866667	3.742580	0.000000	107.333333	85.610000	19.800000	0.000000 
	3.883333	3.742580	0.000000	107.666667	85.940000	19.800000	0.000000 
	3.900000	3.742790	0.000000	108.000000	86.270000	19.800000	0.000000 
	3.916667	3.742790	0.000000	108.333333	86.600000	19.800000	0.000000 
	3.933333	3.742790	0.000000	108.666667	86.930000	19.800000	0.000000 
	3.950000	3.743001	0.000000	109.000000	87.260000	19.800000	0.000000 
	3.966667	3.742790	0.000000	109.333333	87.590000	19.800000	0.000000 
	3.983333	3.742790	0.000000	109.666667	87.920000	19.800000	0.000000 
	4.000000	3.742580	0.000000	110.000000	88.240000	19.800000	0.000000 
	4.016667	3.742580	0.000000	110.333333	88.570000	19.800000	0.000000 
	4.033333	3.742580	0.000000	110.666667	88.900000	19.800000	0.000000 
	4.050000	3.742369	0.000000	111.000000	89.230000	19.800000	0.000000 
	4.066667	3.742159	0.000000	111.333333	89.560000	19.800000	0.000000 
	4.083333	3.741948	0.000000	111.666667	89.890000	19.800000	0.000000 
	4.100000	3.741738	0.000000	112.000000	90.220000	19.800000	0.000000 
	4.116667	3.741527	0.000000	112.333333	90.550000	19.800000	0.000000 
	4.133333	3.741527	0.000000	112.666667	90.880000	19.800000	0.000000 
	4.150000	3.741527	0.000000	113.000000	91.210000	19.800000	0.000000 
	4.166667	3.741317	0.000000	113.333333	91.540000	19.800000	0.000000 
	4.183333	3.741527	0.000000	113.666667	91.870000	19.800000	0.000000 
	4.200000	3.741527	0.000000	114.000000	92.200000	19.800000	0.000000 
	4.216667	3.741317	0.000000	114.333333	92.530000	19.800000	0.000000 
	4.233333	3.741317	0.000000	114.666667	92.860000	19.800000	0.000000 
	4.250000	3.741527	0.000000	115.000000	93.190000	19.800000	0.000000 
	4.266667	3.741527	0.000000	115.333333	93.520000	19.800000	0.000000 
	4.283333	3.741527	0.000000	115.666667	93.860000	19.800000	0.000000 
	4.300000	3.741527	0.000000	116.000000	94.190000	19.800000	0.000000 
	4.316667	3.741527	0.000000	116.333333	94.520000	19.800000	0.000000 
	4.333333	3.741527	0.000000	116.666667	94.850000	19.800000	0.000000 
	4.350000	3.741527	0.000000	117.000000	95.180000	19.800000	0.000000 
	4.366667	3.741317	0.000000	117.333333	95.510000	19.800000	0.000000 
	4.383333	3.741317	0.000000	117.666667	95.840000	19.800000	0.000000 
	4.400000	3.741106	0.000000	118.000000	96.170000	19.800000	0.000000 
	4.416667	3.741106	0.000000	118.333333	96.500000	19.800000	0.000000 
	4.433333	3.741106	0.000000	118.666667	96.830000	19.800000	0.000000 
	4.450000	3.741106	0.000000	119.000000	97.170000	19.800000	0.000000 
	4.466667	3.741106	0.000000	119.333333	97.500000	19.800000	0.000000 
	4.483333	3.741106	0.000000	119.666667	97.830000	19.800000	0.000000 
	4.500000	3.740895	0.000000	120.000000	98.160000	19.800000	0.000000 
	4.516667	3.740895	0.000000	120.333333	98.490000	19.800000	0.000000 
	4.533333	3.740474	0.000000	120.666667	98.820000	19.800000	0.000000 
	4.550000	3.740474	0.000000	121.000000	99.150000	19.800000	0.000000 
	4.566667	3.740264	0.000000	121.333333	99.480000	19.800000	0.000000 
	4.583333	3.740474	0.000000	121.666667	99.820000	19.800000	0.000000 
	4.600000	3.740264	0.000000	122.000000	100.150000	19.800000	0.000000 
	4.616667	3.740264	0.000000	122.333333	100.480000	19.800000	0.000000 
	4.633333	3.739632	0.000000	122.666667	100.810000	19.800000	0.000000 
	4.650000	3.739421	0.000000	123.000000	101.140000	19.800000	0.000000 
	4.666667	3.739843	0.000000	123.333333	101.480000	19.800000	0.000000 
	4.683333	3.745949	0.000000	123.666667	101.810000	19.800000	0.000000 
	4.700000	3.748055	0.000000	124.000000	102.140000	19.800000	0.000000 
	4.716667	3.746791	0.000000	124.333333	102.480000	19.800000	0.000000 
	4.733333	3.744475	0.000000	124.666667	102.810000	19.800000	0.000000 
	4.750000	3.739421	0.000000	125.000000	103.150000	19.800000	0.000000 
	4.766667	3.739000	0.000000	125.333333	103.480000	19.800000	0.000000 
	4.783333	3.738790	0.000000	125.666667	103.820000	19.800000	0.000000 
	4.800000	3.739000	0.000000	126.000000	104.150000	19.800000	0.000000 
	4.816667	3.738579	0.000000	126.333333	104.480000	19.800000	0.000000 
	4.833333	3.738369	0.000000	126.666667	104.820000	19.800000	0.000000 
	4.850000	3.737948	0.000000	127.000000	105.150000	19.800000	0.000000 
	4.866667	3.733947	0.000000	127.333333	105.480000	19.800000	0.000000 
	4.883333	3.732894	0.000000	127.666667	105.810000	19.800000	0.000000 
	4.900000	3.734789	0.000000	128.000000	106.140000	19.800000	0.000000 
	4.916667	3.733526	0.000000	128.333333	106.470000	19.800000	0.000000 
	4.933333	3.739632	0.000000	128.666667	106.800000	19.800000	0.000000 
